nombre_completo,cargo,comuna,confianza,notas
Alí Manouchehri Moghadam Kashan Lobos,alcalde,coquimbo,alta,"Nombre completo verificado en achm.cl (Asociación Chilena de Municipalidades), corrige duda inicial de posible error del agente de investigación. Reelecto con 63.54% de los votos."
Juan Carlos Alfaro Aravena,alcalde,andacollo,media,Ganó con 35.38%. Militancia PS no confirmada en fuente oficial.
Uberlinda Aquea Barraza,alcalde,la-higuera,media,Ganó con 49.09%. Militancia PS no confirmada en fuente oficial.
Hernán Ahumada Ahumada,alcalde,paihuano,alta,"Reelecto, tercer período, 54.60% de los votos."
Mario Aros Carvajal,alcalde,vicuna,alta,Ganó con 52.36% (10671 votos).
Héctor Vega Campusano,alcalde,ovalle,media,Ganó con 46.85%. Pacto no confirmado oficialmente.
Marta Angélica Carvajal Cortés,alcalde,combarbala,media,"Primera alcaldesa mujer de la comuna, 32.61% de los votos."
Cristian Herrera Peña,alcalde,monte-patria,alta,"Reelecto, 50.48% (11187 votos)."
Pedro Humberto Araya Zepeda,alcalde,punitaqui,media,"Ganó con 20.11% (1810 votos), el porcentaje más bajo del país entre alcaldes electos."
Carmen Juana Olivares de la Rivera,alcalde,rio-hurtado,media,Ganó con 36.12%. Sitio municipal oficial no accesible para confirmar ortografía exacta.
Denis Cortés Aguilera,alcalde,illapel,alta,"Reelecto, 57.70% (13183 votos), confirmado en sitio oficial del partido DC."
Waldo Enrique Contreras Cortés,alcalde,canela,media,Ganó con 44.85%. Ex concejal. Pacto no confirmado.
Christian Frank Gross Hidalgo,alcalde,los-vilos,baja,"Reelecto (segundo período), 32.52%. FUENTES CONTRADICTORIAS sobre militancia PS vs independiente sin militancia — no resuelto."
Carlos Lillo Álamos,alcalde,salamanca,media,"Ganó con 37.39%, ex seremi de Economía. Sin pacto identificado."
José Luis Núñez Núñez,concejal,illapel,alta,Sentencia TER Coquimbo Rol 5.146-2024. Lista A.
Ricardo del Tránsito Castillo Castillo,concejal,illapel,alta,Sentencia TER Coquimbo Rol 5.146-2024. Lista R.
Eduardo Antonio Cortés Mánquez,concejal,illapel,alta,Sentencia TER Coquimbo Rol 5.146-2024. Lista U. Reelecto.
Cristian Esteban Vásquez Suazo,concejal,illapel,alta,"Sentencia TER Coquimbo Rol 5.146-2024. Lista U, subpacto PDC."
Janet Araya Rocco,concejal,illapel,alta,"Sentencia TER Coquimbo Rol 5.146-2024. Lista U, subpacto PS."
Maximiliano Javier Bravo Leyton,concejal,illapel,alta,"Sentencia TER Coquimbo Rol 5.146-2024. Lista U, subpacto PPD."
Bernardo Leyton Lemus,concejal,canela,alta,Sentencia TER Coquimbo Rol 5.145-2024. Lista A. Exalcalde de Canela.
Homero Ademir Cortés Campusano,concejal,canela,alta,Sentencia TER Coquimbo Rol 5.145-2024. Lista A.
Juan Eduardo Ávalos Ávalos,concejal,canela,alta,"Sentencia TER Coquimbo Rol 5.145-2024. Lista E, subpacto UDI."
Juan Eleodoro Castillo Cortés,concejal,canela,alta,Sentencia TER Coquimbo Rol 5.145-2024. Lista R.
Norman de la Cruz Araya Araya,concejal,canela,alta,"Sentencia TER Coquimbo Rol 5.145-2024. Lista U, subpacto PPD."
Evelyn Jacqueline Pereira Lanas,concejal,canela,alta,"Sentencia TER Coquimbo Rol 5.145-2024. Lista U, subpacto PPD."
Carla Solange Acevedo Riveros,concejal,los-vilos,alta,"Sentencia TER Coquimbo Rol 5.148-2024. Lista A, subpacto PC."
Margarita Catalina González Ávalos,concejal,los-vilos,alta,Sentencia TER Coquimbo Rol 5.148-2024. Lista A.
Fabián Arturo Carvajal Veneciano,concejal,los-vilos,alta,Sentencia TER Coquimbo Rol 5.148-2024. Lista I. Reelecto.
Berta de las Mercedes Martínez González,concejal,los-vilos,alta,Sentencia TER Coquimbo Rol 5.148-2024. Lista I.
Roberto Esteban Urrutia Urrutia,concejal,los-vilos,alta,Sentencia TER Coquimbo Rol 5.148-2024. Lista T.
Matthias Eyzaguirre Méndez,concejal,los-vilos,alta,"Sentencia TER Coquimbo Rol 5.148-2024. Lista U, subpacto PS. Reelecto."
Ángel Vidal Barraza Pinto,concejal,salamanca,alta,"Sentencia TER Coquimbo Rol 5.147-2024. Lista A, subpacto PC."
José Francisco Peña González,concejal,salamanca,alta,"Sentencia TER Coquimbo Rol 5.147-2024. Lista E, subpacto UDI."
Jacqueline del Carmen Briceño Salinas,concejal,salamanca,alta,Sentencia TER Coquimbo Rol 5.147-2024. Lista I.
Franco Antonio Cereijo Varela,concejal,salamanca,alta,Sentencia TER Coquimbo Rol 5.147-2024. Lista P.
Manuel Alonso Cuevas Saavedra,concejal,salamanca,alta,"Sentencia TER Coquimbo Rol 5.147-2024. Lista U, subpacto PPD."
Carlos Cepeda Ramírez,concejal,salamanca,alta,"Sentencia TER Coquimbo Rol 5.147-2024. Lista U, subpacto PS. Hubo rectificación de escrutinio acogida por el tribunal."
Fanny Elizabeth Vega Araya,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024.
Ricardo Arnoldo Rojas Vergara,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024. Reelecto.
Victor Hugo Lara Ramírez,concejal,ovalle,alta,Acta oficial TER: independiente en subpacto UDI (prensa local lo atribuye erróneamente como militante UDI).
David Rodrigo Álvarez Lara,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024.
Teodosio Segundo Guerrero Cruz,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024. Ex CORE por Limarí.
Armando del Rosario Mondaca Contreras,concejal,ovalle,alta,Acta oficial TER: independiente en subpacto Demócratas.
Cristian Alejandro Rojas Molina,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024. Reelecto.
Víctor Andrés Venegas Aracena,concejal,ovalle,alta,Sentencia TER Coquimbo Rol 5.141-2024.
Claudia Patricia Ávalos Roblero,concejal,combarbala,alta,"Sentencia TER Coquimbo Rol 5.144-2024. Ceremonia de instalación fue el 10/12/2024 (excepción confirmada, no el estándar nacional 6/12)."
Yerko Antonio Gómez Cortés,concejal,combarbala,alta,Sentencia TER Coquimbo Rol 5.144-2024.
Iván David Guzmán Araya,concejal,combarbala,alta,Sentencia TER Coquimbo Rol 5.144-2024.
Carlos Amable Castro Rubina,concejal,combarbala,alta,Sentencia TER Coquimbo Rol 5.144-2024.
Juan Alejandro Castillo Castillo,concejal,combarbala,alta,Sentencia TER Coquimbo Rol 5.144-2024. Reelecto (3er período).
Nelson Alberto Pizarro Cortés,concejal,combarbala,media,"INCONSISTENCIA EN LA FUENTE PRIMARIA: el texto de fundamentos de la sentencia TER dice 'Lista U, subpacto PDC' pero la tabla de votos/cuocientes muestra que ganó por Lista Y 'Republicanos e Independientes' (575 votos). El listado final de electos del mismo fallo confirma que sí resultó electo; pacto anotado según la tabla de votación, no el texto de fundamentos."
Gonzalo Andrés Soto González,concejal,monte-patria,alta,"Sentencia TER Coquimbo Rol 5.142-2024. Fecha de asunción asumida por estándar nacional, no confirmada comuna-específicamente."
Marjorie Lissette Araya Robles,concejal,monte-patria,alta,Sentencia TER Coquimbo Rol 5.142-2024.
Cristian Lazo Lazo,concejal,monte-patria,alta,Sentencia TER Coquimbo Rol 5.142-2024.
Mery Mora Araya,concejal,monte-patria,alta,Sentencia TER Coquimbo Rol 5.142-2024.
Renato del Tránsito Valderrama Bravo,concejal,monte-patria,alta,Sentencia TER Coquimbo Rol 5.142-2024.
Carolina Rojas Bruna,concejal,monte-patria,alta,Sentencia TER Coquimbo Rol 5.142-2024.
Luciano Andrés Riveros Araya,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Jaime Eduardo Palma Gallardo,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Adrián Luciano Valdivia Segovia,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Noelia Loreto Aguilera Zepeda,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Cedelinda Carmen Valdivia Moreno,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Constanza Alejandra Fuentealba Araya,concejal,punitaqui,alta,"Sentencia TER Coquimbo Rol 5.143-2024, confirmado en munipunitaqui.cl."
Solano de la Rivera Cortés,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl. Fecha exacta no confirmada comuna-específicamente."
Solano Jonathan Portilla Ramírez,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl."
Rodrigo Jorge Alberto Hernández Muñoz,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl."
Edgard Benjamín Anjel Véliz,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl."
Claudio Arnaldo Molina Rojas,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl."
Juan Perines Huenchullán,concejal,rio-hurtado,alta,"Sentencia TER Coquimbo Rol 5.140-2024, confirmado en riohurtado.cl."
Rayen Alfonsina Pojomovsky Aliste,concejal,la-serena,alta,"Reelecta. Sentencia TER Rol 5.136-2024, definitiva."
Gladys Angélica Marín Ossandón,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
Camilo Alejandro Araya Plaza,concejal,la-serena,alta,"Reelecto. Sentencia TER Rol 5.136-2024, definitiva."
Luisa Jinete Cárcamo,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
Francisca Matilde Barahona Araya,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
María Marcela Damke Marín,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
Cristian Marín Pastén,concejal,la-serena,alta,"Reelecto, más votado de la comuna. Sentencia TER Rol 5.136-2024, definitiva."
Matías Ignacio Espinosa Morales,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
Alejandro Alfonso Astudillo Olguín,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
María Teresita Prouvay Cornejo,concejal,la-serena,alta,"Sentencia TER Rol 5.136-2024, definitiva."
Ignacio Hernán Plaza Ramírez,concejal,coquimbo,alta,"Reelecto. Sentencia TER Rol 5.137-2024, definitiva."
Sonia Isabel Elgueda Rojas,concejal,coquimbo,alta,"Reelecta. Sentencia TER Rol 5.137-2024, definitiva."
Mario Burlé Delva,concejal,coquimbo,alta,"Reelecto. Sentencia TER Rol 5.137-2024, definitiva."
Cynthia Silva Cepeda,concejal,coquimbo,alta,"Ambigüedad menor en el propio fallo: tabla de votación dice 'Silva Zepeda', párrafo operativo final dice 'Silva Cepeda' (se usó esta última, la vinculante). Sentencia TER Rol 5.137-2024."
Vicente Ignacio Cortés Varela,concejal,coquimbo,alta,"Sentencia TER Rol 5.137-2024, definitiva."
Bárbara Daniela Toro Guzmán,concejal,coquimbo,alta,"Sentencia TER Rol 5.137-2024, definitiva."
Felipe Ignacio Carrazana León,concejal,coquimbo,alta,"Sentencia TER Rol 5.137-2024, definitiva."
Freddy Haroldo Bonilla Rojo,concejal,coquimbo,alta,"Reelecto. Sentencia TER Rol 5.137-2024, definitiva."
Pablo Galleguillos Castillo,concejal,coquimbo,alta,"Reelecto, más votado de la comuna. Sentencia TER Rol 5.137-2024, definitiva."
Esteban Andrés Villalobos Gaete,concejal,coquimbo,alta,"Sentencia TER Rol 5.137-2024, definitiva."
Fernando Alejandro Álvarez Rojas,concejal,vicuna,alta,"Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
Fernando Rubén Guamán Guamán,concejal,vicuna,alta,"Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
David Vergara Cortés,concejal,vicuna,alta,"Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
Cristian Amador Pinto Torres,concejal,vicuna,alta,"Más votado de la comuna. Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
Caroll Paulina Alcayaga Callejas,concejal,vicuna,alta,"Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
Margarita Ernestina Rodríguez Portilla,concejal,vicuna,alta,"Sentencia TER Rol 5.135-2024, confirmado en munivicuna.cl."
Javier Ernesto Cifuentes González,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
René Alex Olivarez Cortés,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
Ana Alejandra Jeraldo Ramos,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
Joaquín Antonio Zepeda Rojas,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
Luis Toledo Cuello,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
César Rojas Flores,concejal,andacollo,alta,"Sentencia TER Rol 5.138-2024, definitiva."
Diego Alejandro Iglesias Aguirre,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
Marta Elena Ahumada Varela,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
Sergio Alfredo Pérez Pacheco,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
Orlando Rodrigo Chelme Aliaga,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
Juan Guillermo Pizarro Zepeda,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
José Antonio Cortés Portilla,concejal,paihuano,alta,"Sentencia TER Rol 5.139-2024, confirmado en munipaihuano.cl."
Urbano Enrique Morales González,concejal,la-higuera,alta,"Sentencia TER Rol 5.134-2024, definitiva."
Ivanna Patricia Godoy Ahumada,concejal,la-higuera,alta,"Más votada de la comuna. Sentencia TER Rol 5.134-2024, definitiva."
Roquer Javier González Rojas,concejal,la-higuera,alta,"Sentencia TER Rol 5.134-2024, definitiva."
Yudis Yael González Rivera,concejal,la-higuera,alta,"Sentencia TER Rol 5.134-2024, definitiva."
Ivonne del Carmen Valenzuela Valenzuela,concejal,la-higuera,alta,"Sentencia TER Rol 5.134-2024, definitiva."
Luis Rivera Ponce,concejal,la-higuera,alta,"Sentencia TER Rol 5.134-2024, definitiva."
